issue,number,result,timestamp,fetch_time_utc
20250718100010216,9,Big,,
20250718100010217,9,Big,,
20250718100010218,3,Small,,
20250718100010219,0,Small,,
20250718100010220,7,Big,,
20250718100010221,3,Small,,
20250718100010222,7,Big,,
20250718100010223,9,Big,,
20250718100010224,7,Big,,
20250718100010225,7,Big,,
20250718100010226,1,Small,,
20250718100010227,1,Small,,
20250718100010228,9,Big,,
20250718100010229,0,Small,,
20250718100010230,2,Small,,
20250718100010231,2,Small,,
20250718100010232,6,Big,,
20250718100010233,5,Big,,
20250718100010234,4,Small,,
20250718100010235,1,Small,,
20250718100010236,6,Big,,
20250718100010237,8,Big,,
20250718100010238,0,Small,,
20250718100010239,4,Small,,
20250718100010240,4,Small,,
20250718100010241,2,Small,,
20250718100010242,2,Small,,
20250718100010243,6,Big,,
20250718100010244,6,Big,,
20250718100010245,5,Big,,
20250718100010246,0,Small,,
20250718100010247,0,Small,,
20250718100010248,4,Small,,
20250718100010249,5,Big,,
20250718100010250,2,Small,,
20250718100010251,5,Big,,
20250718100010252,4,Small,,
20250718100010253,2,Small,,
20250718100010254,9,Big,,
20250718100010255,2,Small,,
20250718100010256,3,Small,,
20250718100010257,2,Small,,
20250718100010258,3,Small,,
20250718100010259,7,Big,,
20250718100010260,7,Big,,
20250718100010261,1,Small,,
20250718100010262,2,Small,,
20250718100010263,8,Big,,
20250718100010264,6,Big,,
20250718100010265,6,Big,,
20250718100010266,7,Big,,
20250718100010267,2,Small,,
20250718100010268,0,Small,,
20250718100010269,5,Big,,
20250718100010270,1,Small,,
20250718100010271,4,Small,,
20250718100010272,1,Small,,
20250718100010273,3,Small,,
20250718100010274,5,Big,,
20250718100010275,1,Small,,
20250718100010276,6,Big,,
20250718100010277,5,Big,,
20250718100010278,6,Big,,
20250718100010279,1,Small,,
20250718100010280,6,Big,,
20250718100010281,9,Big,,
20250718100010282,9,Big,,
20250718100010283,3,Small,,
20250718100010284,3,Small,,
20250718100010285,5,Big,,
20250718100010286,8,Big,,
20250718100010287,8,Big,,
20250718100010288,0,Small,,
20250718100010289,2,Small,,
20250718100010290,7,Big,,
20250718100010291,3,Small,,
20250718100010292,8,Big,,
20250718100010293,1,Small,,
20250718100010294,0,Small,,
20250718100010295,0,Small,,
20250718100010296,9,Big,,
20250718100010297,7,Big,,
20250718100010298,4,Small,,
20250718100010299,5,Big,,
20250718100010300,1,Small,,
20250718100010301,9,Big,,
20250718100010302,8,Big,,
20250718100010303,9,Big,,
20250718100010304,2,Small,,
20250718100010305,6,Big,,
20250718100010306,3,Small,,
20250718100010307,4,Small,,
20250718100010308,1,Small,,
20250718100010309,6,Big,,
20250718100010310,2,Small,,
20250718100010311,9,Big,,
20250718100010312,3,Small,,
20250718100010313,5,Big,,
20250718100010314,2,Small,,
20250718100010315,3,Small,,
20250718100010316,6,Big,,
20250718100010317,1,Small,,
20250718100010318,1,Small,,
20250718100010319,4,Small,,
20250718100010320,3,Small,,
20250718100010321,4,Small,,
20250718100010322,1,Small,,
20250718100010323,6,Big,,
20250718100010324,5,Big,,
20250718100010325,1,Small,,
20250718100010326,8,Big,,
20250718100010327,8,Big,,
20250718100010328,1,Small,,
20250718100010329,9,Big,,
20250718100010330,1,Small,,
20250718100010331,9,Big,,
20250718100010332,8,Big,,
20250718100010333,1,Small,,
20250718100010334,5,Big,,
20250718100010335,7,Big,,
20250718100010336,1,Small,,
20250718100010337,1,Small,,
20250718100010338,1,Small,,
20250718100010339,1,Small,,
20250718100010340,3,Small,,
20250718100010341,8,Big,,
20250718100010342,3,Small,,
20250718100010343,1,Small,,
20250718100010344,6,Big,,
20250718100010345,0,Small,,
20250718100010346,7,Big,,
20250718100010347,6,Big,,
20250718100010348,5,Big,,
20250718100010349,3,Small,,
20250718100010350,7,Big,,
20250718100010351,3,Small,,
20250718100010352,6,Big,,
